#Digilent WaveForms Oscilloscope Acquisition,,,,,,,,
#Device Name: Discovery2,,,,,,,,
#Serial Number: SN:210321AE0290,,,,,,,,
#Date Time: 2024-09-22 20:45:31.093,,,,,,,,
#Sample rate: 800000Hz,,,,,,,,
#Samples: 8192,,,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Wavegen Channel 1: Running,,,,,,,,
#Mode: Custom,,,,,,,,
#Type: Custom1,,,,,,,,
#Frequency: 200 Hz,,,,,,,,
#Period: 5 ms,,,,,,,,
#Amplitude: 1 V,,,,,,,,
#Offset: 0 V,,,,,,,,
#Phase: 0 °,,,,,,,,
,,,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,,Average Noise%Err,
-0.005042083,-0.047345576,0.003094442,,-0.05285883,10.43014844,,,
-0.005040833,-0.046000214,0.003429376,,-0.051290165,10.31377297,,,
-0.005039583,-0.044318512,0.003094442,,-0.049721374,10.86627621,,,
-0.005038333,-0.04297315,0.003094442,,-0.04815246,10.75606389,,,
-0.005037083,-0.040955108,0.002424576,,-0.046583427,12.08223451,,,
-0.005035833,-0.039946087,0.002089643,,-0.045014279,11.25907676,,,
-0.005034583,-0.038937065,0.002089643,,-0.04344502,10.37622839,,,
-0.005033333,-0.037928044,0.002424576,,-0.041875654,9.426980157,,,
-0.005032083,-0.036246342,0.002759509,,-0.040306184,10.07250434,,,
-0.005030833,-0.03490098,0.002424576,,-0.038736615,9.901832792,,,
-0.005029583,-0.033555619,0.003094442,,-0.037166951,9.716514114,,,
-0.005028333,-0.032210257,0.003764309,,-0.035597195,9.514619051,,,
-0.005027083,-0.030192215,0.003094442,,-0.034027351,11.27074495,,,
-0.005025833,-0.028846853,0.002759509,,-0.032457422,11.12401804,,,
-0.005024583,-0.027837832,0.002424576,,-0.030887414,9.873220984,,,
-0.005023333,-0.02615613,0.003429376,,-0.02931733,10.78270236,,,
-0.005022083,-0.025483449,0.002424576,,-0.027747173,8.158397206,,,
-0.005020833,-0.024138087,0.002424576,,-0.026176948,7.788765688,,,
-0.005019583,-0.022792725,0.002089643,,-0.024606659,7.371716553,,,
-0.005018333,-0.021447364,0.002759509,,-0.023036308,6.897565165,,,
-0.005017083,-0.020102002,0.003094442,,-0.021465901,6.353792355,,,
-0.005015833,-0.01875664,0.002759509,,-0.019895441,5.723925534,,,
-0.005014583,-0.017747619,0.003094442,,-0.018324931,3.150419129,,,
-0.005013333,-0.016402258,0.003094442,,-0.016754377,2.101655468,,,
-0.005012083,-0.014720556,0.002424576,,-0.015183781,3.05079141,,,
-0.005010833,-0.013711534,0.002759509,,-0.013613148,0.722732183,,,
-0.005009583,-0.012029832,0.003429376,,-0.012042481,0.10503281,,,
-0.005008333,-0.011020811,0.003094442,,-0.010471784,5.242915883,,,
-0.005007083,-0.009339109,0.002089643,,-0.008901062,4.921291937,,,
-0.005005833,-0.007657407,0.003094442,,-0.007330317,4.462147797,,,
-0.005004583,-0.006312045,0.003094442,,-0.005759555,9.592589681,,,
-0.005003333,-0.004630343,0.003094442,,-0.004188778,10.54162121,,,
-0.005002083,-0.002948641,0.003429376,,-0.002617991,12.62991782,,,
-0.005000833,-0.001603279,0.003429376,,-0.001047197,53.10192578,,,
-0.004999583,7.842275150796163e-05,0.003429376,,0.000523599,85.02235706,,,
-0.004998333,0.001423784,0.002424576,,0.002094394,32.01925218,,,
-0.004997083,0.002769146,0.00175471,,0.003665183,24.4472676,,,
-0.004995833,0.004114508,0.002089643,,0.005235964,21.41833164,,,
-0.004994583,0.005459869,0.002089643,,0.006806732,19.78720804,,,
-0.004993333,0.006468891,0.003429376,,0.008377482,22.78240265,,,
-0.004992083,0.008486933,0.002759509,,0.009948213,14.68886484,,,
-0.004990833,0.009832295,0.002759509,,0.011518918,14.64220406,,,
-0.004989583,0.011177656,0.003094442,,0.013089596,14.6065561,,,
-0.004988333,0.012186678,0.003429376,,0.014660241,16.87259379,,,
-0.004987083,0.01420472,0.002424576,,0.016230849,12.48319843,,,
-0.004985833,0.015550082,0.003429376,,0.017801418,12.64694867,,,
-0.004984583,0.016222763,0.002424576,,0.019371943,16.25639829,,,
-0.004983333,0.018240805,0.002424576,,0.02094242,12.90020317,,,
-0.004982083,0.019922507,0.002759509,,0.022512845,11.50604446,,,
-0.004980833,0.021267869,0.002759509,,0.024083215,11.6900759,,,
-0.004979583,0.022613231,0.003429376,,0.025653525,11.85137239,,,
-0.004978333,0.023958592,0.002424576,,0.027223772,11.99385663,,,
-0.004977083,0.025303954,0.003764309,,0.028793952,12.12059545,,,
-0.004975833,0.027321996,0.004099242,,0.030364061,10.01863625,,,
-0.004974583,0.028667358,0.003429376,,0.031934095,10.22962167,,,
-0.004973333,0.03034906,0.003429376,,0.03350405,9.416742624,,,
-0.004972083,0.031694422,0.002759509,,0.035073923,9.63536648,,,
-0.004970833,0.032703443,0.002759509,,0.036643709,10.75291182,,,
-0.004969583,0.034385145,0.003094442,,0.038213404,10.01810544,,,
-0.004968333,0.036066847,0.003094442,,0.039783005,9.34106973,,,
-0.004967083,0.037412209,0.002759509,,0.041352509,9.528562666,,,
-0.004965833,0.039093911,0.002759509,,0.04292191,8.918518975,,,
-0.004964583,0.040775613,0.002424576,,0.044491205,8.351294888,,,
-0.004963333,0.042120975,0.003094442,,0.04606039,8.552718271,,,
-0.004962083,0.043802677,0.003429376,,0.047629462,8.03449143,,,
-0.004960833,0.045148038,0.003094442,,0.049198416,8.232739749,,,
-0.004959583,0.0464934,0.003094442,,0.050767249,8.418515443,,,
-0.004958333,0.047838762,0.003764309,,0.052335956,8.59293469,,,
-0.004957083,0.049856804,0.003764309,,0.053904535,7.509072231,,,
-0.004955833,0.051538506,0.003094442,,0.05547298,7.092594904,,,
-0.004954583,0.052547528,0.002424576,,0.057041289,7.878084698,,,
-0.004953333,0.053892889,0.003094442,,0.058609456,8.047450755,,,
-0.004952083,0.055910932,0.004099242,,0.060177479,7.08994102,,,
-0.004950833,0.058265315,0.003764309,,0.061745354,5.636115656,,,
-0.004949583,0.059274336,0.003094442,,0.063313076,6.378999217,,,
-0.004948333,0.060283357,0.002759509,,0.064880643,7.085758296,,,
-0.004947083,0.060956038,0.003094442,,0.066448049,8.265119623,,,
-0.004945833,0.06263774,0.002424576,,0.068015291,7.906384935,,,
-0.004944583,0.063646761,0.00175471,,0.069582365,8.530327623,,,
-0.004943333,0.064655782,0.002424576,,0.071149267,9.126566215,,,
-0.004942083,0.066337485,0.003094442,,0.072715994,8.771811459,,,
-0.004940833,0.067682846,0.003094442,,0.074282542,8.884585364,,,
-0.004939583,0.069028208,0.003094442,,0.075848906,8.992481008,,,
-0.004938333,0.07070991,0.003429376,,0.077415084,8.661327056,,,
-0.004937083,0.072055272,0.003764309,,0.07898107,8.768934228,,,
-0.004935833,0.073736974,0.003764309,,0.080546861,8.454565647,,,
-0.004934583,0.075418676,0.003764309,,0.082112453,8.151964038,,,
-0.004933333,0.076764037,0.003764309,,0.083677843,8.262409319,,,
-0.004932083,0.07878208,0.003764309,,0.085243027,7.579443298,,,
-0.004930833,0.080127442,0.003764309,,0.086808,7.6957865,,,
-0.004929583,0.081809144,0.003094442,,0.088372759,7.427192809,,,
-0.004928333,0.083827186,0.003764309,,0.0899373,6.793748082,,,
-0.004927083,0.084499867,0.002424576,,0.091501619,7.652052291,,,
-0.004925833,0.086517909,0.003429376,,0.093065712,7.035676491,,,
-0.004924583,0.088199612,0.003764309,,0.094629575,6.794877679,,,
-0.004923333,0.089881314,0.003429376,,0.096193205,6.561681632,,,
-0.004922083,0.091899356,0.003094442,,0.097756598,5.991659119,,,
-0.004920833,0.093244718,0.003429376,,0.09931975,6.116640456,,,
-0.004919583,0.09526276,0.003764309,,0.100882656,5.570725608,,,
-0.004918333,0.096608122,0.003094442,,0.102445314,5.697861261,,,
-0.004917083,0.097953484,0.002759509,,0.104007719,5.820947753,,,
-0.004915833,0.099298845,0.003094442,,0.105569867,5.940162314,,,
-0.004914583,0.1003078664683576,0.003094442,,0.107131754,6.36962205,,,
-0.004913333,0.1019895685441443,0.003094442,,0.108693378,6.167633425,,,
-0.004912083,0.1033349302047726,0.003094442,,0.110254733,6.276195485,,,
-0.004910833,0.1050166322805586,0.002759509,,0.111815816,6.080699336,,,
-0.004909583,0.1056893131108727,0.002759509,,0.113376623,6.780330661,,,
-0.004908333,0.1070346747715019,0.002759509,,0.11493715,6.875475586,,,
-0.004907083,0.1080436960169731,0.002759509,,0.116497394,7.256555716,,,
-0.004905833,0.1093890576776024,0.003429376,,0.118057351,7.342442481,,,
-0.004904583,0.1114071001685464,0.003764309,,0.119617016,6.863501513,,,
-0.004903333,0.1130888022443318,0.00175471,,0.121176386,6.674224132,,,
-0.004902083,0.1144341639049606,0.002424576,,0.122735457,6.76356541,,,
-0.004900833,0.1154431851504322,0.003094442,,0.124294225,7.121038649,,,
